1,5,2006-12-26,1,37,2007-01-09,2006-12-31
1,5,2007-01-09,1,37,2007-01-23,2007-01-14
1,5,2007-01-23,1,37,2007-02-06,2007-01-28
1,5,2007-02-06,1,37,2007-02-20,2007-02-11
1,5,2007-02-20,1,37,2007-03-06,2007-02-25
1,5,2007-03-06,1,37,2007-03-20,2007-03-11
1,5,2007-03-20,1,37,2007-04-03,2007-03-25
1,5,2007-04-03,1,37,2007-04-17,2007-04-08
1,5,2007-04-17,1,37,2007-05-01,2007-04-22
1,5,2007-05-01,1,37,2007-05-15,2007-05-06
1,5,2007-05-15,1,37,2007-05-29,2007-05-20
1,5,2007-05-29,1,37,2007-06-12,2007-06-03
1,5,2007-06-12,1,37,2007-06-26,2007-06-17
1,5,2007-06-26,1,37,2007-07-10,2007-07-01
1,5,2007-07-10,1,37,2007-07-24,2007-07-15
1,5,2007-07-24,1,37,2007-08-07,2007-07-29
1,5,2007-08-07,1,37,2007-08-21,2007-08-12
1,5,2007-08-21,1,37,2007-09-04,2007-08-26
1,5,2007-09-04,1,37,2007-09-18,2007-09-09
1,5,2007-09-18,1,37,2007-10-02,2007-09-23
1,5,2007-10-02,1,37,2007-10-16,2007-10-07
1,5,2007-10-16,1,37,2007-10-30,2007-10-21
1,5,2007-10-30,1,37,2007-11-13,2007-11-04
1,5,2007-11-13,1,37,2007-11-27,2007-11-18
1,5,2007-11-27,1,37,2007-12-11,2007-12-02
1,5,2007-12-11,1,37,2007-12-25,2007-12-16
1,10,2006-12-31,1,73,2007-01-14,2007-01-10
1,10,2007-01-14,1,73,2007-01-28,2007-01-24
1,10,2007-01-28,1,73,2007-02-11,2007-02-07
1,10,2007-02-11,1,73,2007-02-25,2007-02-21
1,10,2007-02-25,1,73,2007-03-11,2007-03-07
1,10,2007-03-11,1,73,2007-03-25,2007-03-21
1,10,2007-03-25,1,73,2007-04-08,2007-04-04
1,10,2007-04-08,1,73,2007-04-22,2007-04-18
1,10,2007-04-22,1,73,2007-05-06,2007-05-02
1,10,2007-05-06,1,73,2007-05-20,2007-05-16
1,10,2007-05-20,1,73,2007-06-03,2007-05-30
1,10,2007-06-03,1,73,2007-06-17,2007-06-13
1,10,2007-06-17,1,73,2007-07-01,2007-06-27
1,10,2007-07-01,1,73,2007-07-15,2007-07-11
1,10,2007-07-15,1,73,2007-07-29,2007-07-25
1,10,2007-07-29,1,73,2007-08-12,2007-08-08
1,10,2007-08-12,1,73,2007-08-26,2007-08-22
1,10,2007-08-26,1,73,2007-09-09,2007-09-05
1,10,2007-09-09,1,73,2007-09-23,2007-09-19
1,10,2007-09-23,1,73,2007-10-07,2007-10-03
1,10,2007-10-07,1,73,2007-10-21,2007-10-17
1,10,2007-10-21,1,73,2007-11-04,2007-10-31
1,10,2007-11-04,1,73,2007-11-18,2007-11-14
1,10,2007-11-18,1,73,2007-12-02,2007-11-28
1,10,2007-12-02,1,73,2007-12-16,2007-12-12
1,10,2007-12-16,1,73,2007-12-30,2007-12-26
2,4,2006-12-29,1,59,2007-01-12,2007-01-06
2,4,2007-01-12,1,59,2007-01-26,2007-01-20
2,4,2007-01-26,1,59,2007-02-09,2007-02-03
2,4,2007-02-09,1,59,2007-02-23,2007-02-17
2,4,2007-02-23,1,59,2007-03-09,2007-03-03
2,4,2007-03-09,1,59,2007-03-23,2007-03-17
2,4,2007-03-23,1,59,2007-04-06,2007-03-31
2,4,2007-04-06,1,59,2007-04-20,2007-04-14
2,4,2007-04-20,1,59,2007-05-04,2007-04-28
2,4,2007-05-04,1,59,2007-05-18,2007-05-12
2,4,2007-05-18,1,59,2007-06-01,2007-05-26
2,4,2007-06-01,1,59,2007-06-15,2007-06-09
2,4,2007-06-15,1,59,2007-06-29,2007-06-23
2,4,2007-06-29,1,59,2007-07-13,2007-07-07
2,4,2007-07-13,1,59,2007-07-27,2007-07-21
2,4,2007-07-27,1,59,2007-08-10,2007-08-04
2,4,2007-08-10,1,59,2007-08-24,2007-08-18
2,4,2007-08-24,1,59,2007-09-07,2007-09-01
2,4,2007-09-07,1,59,2007-09-21,2007-09-15
2,4,2007-09-21,1,59,2007-10-05,2007-09-29
2,4,2007-10-05,1,59,2007-10-19,2007-10-13
2,4,2007-10-19,1,59,2007-11-02,2007-10-27
2,4,2007-11-02,1,59,2007-11-16,2007-11-10
2,4,2007-11-16,1,59,2007-11-30,2007-11-24
2,4,2007-11-30,1,59,2007-12-14,2007-12-08
2,4,2007-12-14,1,59,2007-12-28,2007-12-22
2,9,2006-12-23,1,130,2007-01-06,2006-12-25
2,9,2007-01-06,1,130,2007-01-20,2007-01-08
2,9,2007-01-20,1,130,2007-02-03,2007-01-22
2,9,2007-02-03,1,130,2007-02-17,2007-02-05
2,9,2007-02-17,1,130,2007-03-03,2007-02-19
2,9,2007-03-03,1,130,2007-03-17,2007-03-05
2,9,2007-03-17,1,130,2007-03-31,2007-03-19
2,9,2007-03-31,1,130,2007-04-14,2007-04-02
2,9,2007-04-14,1,130,2007-04-28,2007-04-16
2,9,2007-04-28,1,130,2007-05-12,2007-04-30
2,9,2007-05-12,1,130,2007-05-26,2007-05-14
2,9,2007-05-26,1,130,2007-06-09,2007-05-28
2,9,2007-06-09,1,130,2007-06-23,2007-06-11
2,9,2007-06-23,1,130,2007-07-07,2007-06-25
2,9,2007-07-07,1,130,2007-07-21,2007-07-09
2,9,2007-07-21,1,130,2007-08-04,2007-07-23
2,9,2007-08-04,1,130,2007-08-18,2007-08-06
2,9,2007-08-18,1,130,2007-09-01,2007-08-20
2,9,2007-09-01,1,130,2007-09-15,2007-09-03
2,9,2007-09-15,1,130,2007-09-29,2007-09-17
2,9,2007-09-29,1,130,2007-10-13,2007-10-01
2,9,2007-10-13,1,130,2007-10-27,2007-10-15
2,9,2007-10-27,1,130,2007-11-10,2007-10-29
2,9,2007-11-10,1,130,2007-11-24,2007-11-12
2,9,2007-11-24,1,130,2007-12-08,2007-11-26
2,9,2007-12-08,1,130,2007-12-22,2007-12-10
3,3,2006-12-30,1,66,2007-01-13,2007-01-08
3,3,2007-01-13,1,66,2007-01-27,2007-01-22
3,3,2007-01-27,1,66,2007-02-10,2007-02-05
3,3,2007-02-10,1,66,2007-02-24,2007-02-19
3,3,2007-02-24,1,66,2007-03-10,2007-03-05
3,3,2007-03-10,1,66,2007-03-24,2007-03-19
