1,5,1,1534,2007-12-25,2008-01-08
1,10,1,3055,2007-12-30,2008-01-13
2,4,1,1235,2007-12-28,2008-01-11
2,9,1,2756,2007-12-22,2008-01-05
3,3,1,936,2007-12-29,2008-01-12
3,8,1,2457,2007-12-28,2008-01-11
4,2,1,637,2007-12-28,2008-01-11
4,7,1,2158,2008-01-01,2008-01-15
5,1,1,338,2007-12-25,2008-01-08
5,6,1,1859,2008-01-03,2008-01-17
6,5,1,1560,2008-01-03,2008-01-17
6,10,1,3094,2008-01-01,2008-01-15
7,4,1,1261,2008-01-01,2008-01-15
7,9,1,2795,2008-01-04,2008-01-18
8,3,1,962,2007-12-28,2008-01-11
8,8,1,2496,2007-12-20,2008-01-03
9,2,1,663,2007-12-22,2008-01-05
9,7,1,2197,2008-01-04,2008-01-18
10,1,1,364,2007-12-30,2008-01-13
10,6,1,1898,2008-01-01,2008-01-15
11,5,2,1599,2007-12-27,2008-01-10
11,10,2,3120,2008-01-03,2008-01-17
12,4,2,1300,2007-12-20,2008-01-03
12,9,2,2821,2008-01-01,2008-01-15
13,3,2,1001,2007-12-27,2008-01-10
13,8,2,2522,2007-12-28,2008-01-11
14,2,2,702,2008-01-01,2008-01-15
14,7,2,2223,2007-12-22,2008-01-05
15,1,2,403,2008-01-04,2008-01-18
15,6,2,1924,2007-12-30,2008-01-13
16,5,2,1625,2007-12-20,2008-01-03
16,10,2,3159,2007-12-20,2008-01-03
17,4,2,1326,2007-12-24,2008-01-07
17,9,2,2860,2007-12-29,2008-01-12
18,3,2,1027,2007-12-26,2008-01-09
18,8,2,2561,2007-12-20,2008-01-03
19,2,2,728,2007-12-26,2008-01-09
19,7,2,2262,2007-12-25,2008-01-08
20,1,2,429,2007-12-24,2008-01-07
20,6,2,1963,2007-12-28,2008-01-11
21,5,3,1664,2007-12-29,2008-01-12
21,10,3,3185,2007-12-22,2008-01-05
22,4,3,1365,2007-12-28,2008-01-11
22,9,3,2886,2007-12-26,2008-01-09
23,3,3,1066,2007-12-25,2008-01-08
23,8,3,2587,2007-12-28,2008-01-11
24,2,3,767,2007-12-20,2008-01-03
24,7,3,2288,2007-12-28,2008-01-11
25,1,3,468,2007-12-29,2008-01-12
25,6,3,1989,2007-12-26,2008-01-09
26,5,3,1690,2007-12-22,2008-01-05
26,10,3,3224,2007-12-24,2008-01-07
27,4,3,1391,2008-01-01,2008-01-15
27,9,3,2925,2007-12-23,2008-01-06
28,3,3,1092,2007-12-24,2008-01-07
28,8,3,2626,2007-12-20,2008-01-03
29,2,3,793,2007-12-30,2008-01-13
29,7,3,2327,2007-12-31,2008-01-14
30,1,3,494,2008-01-03,2008-01-17
30,6,3,2028,2007-12-24,2008-01-07
31,5,4,1729,2007-12-31,2008-01-14
31,10,4,3250,2007-12-26,2008-01-09
32,4,4,1430,2007-12-20,2008-01-03
32,9,4,2951,2007-12-20,2008-01-03
