2,1,1992-01-09
4,3,1994-01-08
6,5,1996-01-08
8,7,1998-01-07
10,9,2000-01-07
12,11,2002-01-06
14,13,2004-01-06
16,15,2006-01-05
18,17,1990-01-09
20,19,1992-01-09
22,21,1994-01-08
24,23,1996-01-08
26,25,1998-01-07
28,27,2000-01-07
30,29,2002-01-06
32,31,2004-01-06
34,33,2006-01-05
36,35,1990-01-09
38,37,1992-01-09
40,39,1994-01-08
42,41,1996-01-08
44,43,1998-01-07
46,45,2000-01-07
48,47,2002-01-06
50,49,2004-01-06
52,51,2006-01-05
54,53,1990-01-09
56,55,1992-01-09
58,57,1994-01-08
60,59,1996-01-08
62,61,1998-01-07
64,63,2000-01-07
66,65,2002-01-06
68,67,2004-01-06
70,69,2006-01-05
72,71,1990-01-09
74,73,1992-01-09
76,75,1994-01-08
78,77,1996-01-08
80,79,1998-01-07
82,81,2000-01-07
84,83,2002-01-06
86,85,2004-01-06
88,87,2006-01-05
90,89,1990-01-09
92,91,1992-01-09
94,93,1994-01-08
96,95,1996-01-08
98,97,1998-01-07
100,99,2000-01-07
102,101,2002-01-06
104,103,2004-01-06
106,105,2006-01-05
108,107,1990-01-09
110,109,1992-01-09
112,111,1994-01-08
114,113,1996-01-08
116,115,1998-01-07
118,117,2000-01-07
120,119,2002-01-06
122,121,2004-01-06
124,123,2006-01-05
126,125,1990-01-09
128,127,1992-01-09
130,129,1994-01-08
132,131,1996-01-08
134,133,1998-01-07
136,135,2000-01-07
138,137,2002-01-06
140,139,2004-01-06
142,141,2006-01-05
144,143,1990-01-09
146,145,1992-01-09
148,147,1994-01-08
150,149,1996-01-08
152,151,1998-01-07
154,153,2000-01-07
156,155,2002-01-06
158,157,2004-01-06
160,159,2006-01-05
162,161,1990-01-09
164,163,1992-01-09
166,165,1994-01-08
168,167,1996-01-08
170,169,1998-01-07
172,171,2000-01-07
174,173,2002-01-06
176,175,2004-01-06
178,177,2006-01-05
180,179,1990-01-09
182,181,1992-01-09
184,183,1994-01-08
186,185,1996-01-08
188,187,1998-01-07
190,189,2000-01-07
192,191,2002-01-06
194,193,2004-01-06
196,195,2006-01-05
198,197,1990-01-09
200,199,1992-01-09
202,201,1994-01-08
204,203,1996-01-08
206,205,1998-01-07
208,207,2000-01-07
210,209,2002-01-06
212,211,2004-01-06
214,213,2006-01-05
216,215,1990-01-09
218,217,1992-01-09
220,219,1994-01-08
222,221,1996-01-08
224,223,1998-01-07
226,225,2000-01-07
228,227,2002-01-06
230,229,2004-01-06
232,231,2006-01-05
234,233,1990-01-09
236,235,1992-01-09
238,237,1994-01-08
240,239,1996-01-08
242,241,1998-01-07
244,243,2000-01-07
246,245,2002-01-06
248,247,2004-01-06
250,249,2006-01-05
252,251,1990-01-09
254,253,1992-01-09
256,255,1994-01-08
258,257,1996-01-08
260,259,1998-01-07
262,261,2000-01-07
264,263,2002-01-06
266,265,2004-01-06
268,267,2006-01-05
270,269,1990-01-09
272,271,1992-01-09
274,273,1994-01-08
276,275,1996-01-08
278,277,1998-01-07
280,279,2000-01-07
282,281,2002-01-06
284,283,2004-01-06
286,285,2006-01-05
288,287,1990-01-09
290,289,1992-01-09
292,291,1994-01-08
294,293,1996-01-08
296,295,1998-01-07
298,297,2000-01-07
300,299,2002-01-06
302,301,2004-01-06
304,303,2006-01-05
306,305,1990-01-09
308,307,1992-01-09
310,309,1994-01-08
312,311,1996-01-08
314,313,1998-01-07
316,315,2000-01-07
318,317,2002-01-06
320,319,2004-01-06
322,321,2006-01-05
324,323,1990-01-09
326,325,1992-01-09
328,327,1994-01-08
330,329,1996-01-08
332,331,1998-01-07
334,333,2000-01-07
336,335,2002-01-06
338,337,2004-01-06
340,339,2006-01-05
342,341,1990-01-09
344,343,1992-01-09
346,345,1994-01-08
348,347,1996-01-08
350,349,1998-01-07
352,351,2000-01-07
354,353,2002-01-06
356,355,2004-01-06
358,357,2006-01-05
360,359,1990-01-09
362,361,1992-01-09
364,363,1994-01-08
366,365,1996-01-08
368,367,1998-01-07
370,369,2000-01-07
372,371,2002-01-06
374,373,2004-01-06
376,375,2006-01-05
378,377,1990-01-09
380,379,1992-01-09
382,381,1994-01-08
384,383,1996-01-08
386,385,1998-01-07
388,387,2000-01-07
390,389,2002-01-06
392,391,2004-01-06
394,393,2006-01-05
396,395,1990-01-09
398,397,1992-01-09
400,399,1994-01-08
402,401,1996-01-08
404,403,1998-01-07
406,405,2000-01-07
408,407,2002-01-06
410,409,2004-01-06
412,411,2006-01-05
414,413,1990-01-09
416,415,1992-01-09
418,417,1994-01-08
420,419,1996-01-08
422,421,1998-01-07
424,423,2000-01-07
426,425,2002-01-06
428,427,2004-01-06
430,429,2006-01-05
432,431,1990-01-09
434,433,1992-01-09
436,435,1994-01-08
438,437,1996-01-08
440,439,1998-01-07
442,441,2000-01-07
444,443,2002-01-06
446,445,2004-01-06
448,447,2006-01-05
450,449,1990-01-09
452,451,1992-01-09
454,453,1994-01-08
456,455,1996-01-08
458,457,1998-01-07
460,459,2000-01-07
462,461,2002-01-06
464,463,2004-01-06
466,465,2006-01-05
468,467,1990-01-09
470,469,1992-01-09
472,471,1994-01-08
474,473,1996-01-08
476,475,1998-01-07
478,477,2000-01-07
480,479,2002-01-06
482,481,2004-01-06
484,483,2006-01-05
486,485,1990-01-09
488,487,1992-01-09
490,489,1994-01-08
492,491,1996-01-08
494,493,1998-01-07
496,495,2000-01-07
498,497,2002-01-06
500,499,2004-01-06
502,501,2006-01-05
504,503,1990-01-09
506,505,1992-01-09
508,507,1994-01-08
510,509,1996-01-08
512,511,1998-01-07
514,513,2000-01-07
516,515,2002-01-06
518,517,2004-01-06
520,519,2006-01-05
522,521,1990-01-09
524,523,1992-01-09
526,525,1994-01-08
528,527,1996-01-08
530,529,1998-01-07
532,531,2000-01-07
534,533,2002-01-06
536,535,2004-01-06
538,537,2006-01-05
540,539,1990-01-09
542,541,1992-01-09
544,543,1994-01-08
546,545,1996-01-08
548,547,1998-01-07
550,549,2000-01-07
552,551,2002-01-06
554,553,2004-01-06
556,555,2006-01-05
558,557,1990-01-09
560,559,1992-01-09
562,561,1994-01-08
564,563,1996-01-08
566,565,1998-01-07
568,567,2000-01-07
570,569,2002-01-06
572,571,2004-01-06
574,573,2006-01-05
576,575,1990-01-09
578,577,1992-01-09
580,579,1994-01-08
582,581,1996-01-08
584,583,1998-01-07
586,585,2000-01-07
588,587,2002-01-06
590,589,2004-01-06
592,591,2006-01-05
594,593,1990-01-09
596,595,1992-01-09
598,597,1994-01-08
600,599,1996-01-08
602,601,1998-01-07
604,603,2000-01-07
606,605,2002-01-06
608,607,2004-01-06
610,609,2006-01-05
612,611,1990-01-09
614,613,1992-01-09
616,615,1994-01-08
618,617,1996-01-08
620,619,1998-01-07
622,621,2000-01-07
624,623,2002-01-06
626,625,2004-01-06
628,627,2006-01-05
630,629,1990-01-09
632,631,1992-01-09
634,633,1994-01-08
636,635,1996-01-08
638,637,1998-01-07
640,639,2000-01-07
642,641,2002-01-06
644,643,2004-01-06
646,645,2006-01-05
648,647,1990-01-09
650,649,1992-01-09
652,651,1994-01-08
654,653,1996-01-08
656,655,1998-01-07
658,657,2000-01-07
